  0.000000  0.000000
  0.352958  0.352468
  1.055303  1.050893
  2.099928  2.082318
  3.476334  3.427598
  5.170888  5.061871
  7.167185  6.955185
  9.446486  9.073269
 11.988222 11.378363
 14.770525 13.830063
 17.770752 16.386114
 20.965998 19.003111
 24.333549 21.637066
 27.851288 24.243811
 31.498007 26.779251
 35.253677 29.199440
 39.099613 31.460512
 43.018585 33.518463
 46.994884 35.328800
 51.014313 36.846058
 55.064152 38.023205
 59.133106 38.810894
 63.211212 39.156578
 67.289742 39.003407
 71.361115 38.288914
 75.418777 36.943371
 79.457100 34.887711
 83.471298 32.030857
 87.457314 28.266251
 91.411758 23.467199
 95.331795 17.480574
 99.215103 10.118061
103.059807  1.143763
106.864410 -9.743786
